id,text,brand
1,I love the new iPhone camera quality,Apple
2,Battery life is terrible and disappointing,Apple
3,Amazing performance and smooth design,Apple
4,Customer service was rude today,Apple
5,The new update is fantastic and fast,Apple
6,Not worth the price,Apple
7,Best smartphone I have used,Apple
8,Phone heats up quickly bad experience,Apple
9,Very satisfied with display clarity,Apple
10,Charging is too slow,Apple
11,Absolutely love the sleek design,Apple
12,Face ID works perfectly every time,Apple
13,Storage space is insufficient,Apple
14,Overpriced compared to features,Apple
15,Sound quality is impressive,Apple
16,Screen cracked easily disappointed,Apple
17,Performance is top class,Apple
18,Software bugs are annoying,Apple
19,Highly recommend this device,Apple
20,Worst phone experience ever,Apple
21,Samsung phones are innovative and stylish,Samsung
22,Very poor software experience,Samsung
23,Loving the new Galaxy features,Samsung
24,Customer support is disappointing,Samsung
25,Excellent camera and battery backup,Samsung
26,Product stopped working quickly,Samsung
27,Great value for money,Samsung
28,Design feels cheap and outdated,Samsung
29,Highly recommend Samsung phones,Samsung
30,Worst purchase this year,Samsung
31,Display quality is stunning,Samsung
32,Heating issue after long use,Samsung
33,Fast charging works very well,Samsung
34,Software updates are slow,Samsung
35,Build quality is premium,Samsung
36,Battery drains too fast,Samsung
37,Performance is smooth and stable,Samsung
38,Camera clarity is outstanding,Samsung
39,Phone lags sometimes,Samsung
40,Very satisfied with this purchase,Samsung
41,Apple ecosystem works seamlessly,Apple
42,Apps crash frequently disappointed,Apple
43,Camera night mode is excellent,Apple
44,Too expensive for average features,Apple
45,Display brightness is perfect,Apple
46,Touch response is very smooth,Apple
47,Device feels heavy and bulky,Apple
48,Speaker quality is amazing,Apple
49,Software experience is clean,Apple
50,Not satisfied with battery backup,Apple
51,Samsung design looks modern,Samsung
52,UI feels confusing sometimes,Samsung
53,Camera zoom quality is great,Samsung
54,Too many preinstalled apps,Samsung
55,Battery performance is reliable,Samsung
56,Screen resolution is impressive,Samsung
57,Device freezes occasionally,Samsung
58,Audio quality is clear,Samsung
59,Very happy with Samsung service,Samsung
60,Not impressed with overall quality,Samsung
